model,method,dataset,budget,metric,score,full_score,retention_percent,num_samples,num_success,num_failed,avg_input_tokens,avg_output_tokens
meta-llama/Llama-3.1-8B-Instruct,popkv,qasper,1024,F1,53.20197245564893,52.09554342368798,102.12384584025254,12,12,0,4474.416666666667,23.166666666666668
meta-llama/Llama-3.1-8B-Instruct,popkv,qasper,2048,F1,51.740933494609955,52.09554342368798,99.31930851321769,12,12,0,4474.416666666667,22.75
meta-llama/Llama-3.1-8B-Instruct,popkv,qasper,4096,F1,51.740933494609955,52.09554342368798,99.31930851321769,12,12,0,4474.416666666667,22.75
meta-llama/Llama-3.1-8B-Instruct,popkv,qasper,512,F1,52.81518803012705,52.09554342368798,101.38139379905546,12,12,0,4474.416666666667,23.583333333333332
meta-llama/Llama-3.1-8B-Instruct,popkv,triviaqa,1024,F1,87.36111111111113,92.5438596491228,94.39968404423385,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,popkv,triviaqa,2048,F1,92.5438596491228,92.5438596491228,100.0,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,popkv,triviaqa,4096,F1,92.39130434782608,92.5438596491228,99.83515351329075,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,popkv,triviaqa,512,F1,92.42424242424244,92.5438596491228,99.87074536837572,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,fier,gov_report,1024,ROUGE-L,37.335361569323624,38.38674847457358,97.26106808461162,12,12,0,11060.416666666666,458.9166666666667
meta-llama/Llama-3.1-8B-Instruct,fier,gov_report,2048,ROUGE-L,38.63971740380709,38.38674847457358,100.65900066894457,12,12,0,11060.416666666666,466.5833333333333
meta-llama/Llama-3.1-8B-Instruct,fier,gov_report,4096,ROUGE-L,37.50030666563976,38.38674847457358,97.69076088973523,12,12,0,11060.416666666666,470.25
meta-llama/Llama-3.1-8B-Instruct,fier,gov_report,512,ROUGE-L,35.96481835626613,38.38674847457358,93.6907130336614,12,12,0,11060.416666666666,450.9166666666667
meta-llama/Llama-3.1-8B-Instruct,fier,hotpotqa,1024,F1,50.694444444444436,59.02777777777777,85.88235294117646,12,12,0,13409.166666666666,5.166666666666667
meta-llama/Llama-3.1-8B-Instruct,fier,hotpotqa,2048,F1,50.694444444444436,59.02777777777777,85.88235294117646,12,12,0,13409.166666666666,5.166666666666667
meta-llama/Llama-3.1-8B-Instruct,fier,hotpotqa,4096,F1,50.694444444444436,59.02777777777777,85.88235294117646,12,12,0,13409.166666666666,5.166666666666667
meta-llama/Llama-3.1-8B-Instruct,fier,hotpotqa,512,F1,56.944444444444436,59.02777777777777,96.4705882352941,12,12,0,13409.166666666666,3.75
meta-llama/Llama-3.1-8B-Instruct,fier,multifieldqa_en,1024,F1,54.4618312963334,57.02769151138716,95.50067669398572,12,12,0,8073.333333333333,13.25
meta-llama/Llama-3.1-8B-Instruct,fier,multifieldqa_en,2048,F1,54.4618312963334,57.02769151138716,95.50067669398572,12,12,0,8073.333333333333,13.25
meta-llama/Llama-3.1-8B-Instruct,fier,multifieldqa_en,4096,F1,57.12849796300006,57.02769151138716,100.17676754738139,12,12,0,8073.333333333333,12.083333333333334
meta-llama/Llama-3.1-8B-Instruct,fier,multifieldqa_en,512,F1,54.4618312963334,57.02769151138716,95.50067669398572,12,12,0,8073.333333333333,13.25
meta-llama/Llama-3.1-8B-Instruct,fier,narrativeqa,1024,F1,37.85757418909593,34.52424085576259,109.65505178595971,12,12,0,25076.75,10.25
meta-llama/Llama-3.1-8B-Instruct,fier,narrativeqa,2048,F1,37.85757418909593,34.52424085576259,109.65505178595971,12,12,0,25076.75,9.333333333333334
meta-llama/Llama-3.1-8B-Instruct,fier,narrativeqa,4096,F1,34.52424085576259,34.52424085576259,100.0,12,12,0,25076.75,9.416666666666666
meta-llama/Llama-3.1-8B-Instruct,fier,narrativeqa,512,F1,38.113328664799255,34.52424085576259,110.39584859818167,12,12,0,25076.75,9.583333333333334
meta-llama/Llama-3.1-8B-Instruct,fier,qasper,1024,F1,49.579631028959675,52.09554342368798,95.17058038099991,12,12,0,4474.416666666667,23.0
meta-llama/Llama-3.1-8B-Instruct,fier,qasper,2048,F1,51.650024403700876,52.09554342368798,99.14480396842444,12,12,0,4474.416666666667,23.0
meta-llama/Llama-3.1-8B-Instruct,fier,qasper,4096,F1,51.740933494609955,52.09554342368798,99.31930851321769,12,12,0,4474.416666666667,22.75
meta-llama/Llama-3.1-8B-Instruct,fier,qasper,512,F1,49.67054011986877,52.09554342368798,95.34508492579317,12,12,0,4474.416666666667,22.75
meta-llama/Llama-3.1-8B-Instruct,fier,triviaqa,1024,F1,92.39130434782608,92.5438596491228,99.83515351329075,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,fier,triviaqa,2048,F1,92.39130434782608,92.5438596491228,99.83515351329075,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,fier,triviaqa,4096,F1,92.39130434782608,92.5438596491228,99.83515351329075,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,fier,triviaqa,512,F1,87.39130434782608,92.5438596491228,94.43230991139502,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,full,gov_report,,ROUGE-L,38.38674847457358,38.38674847457358,100.0,12,12,0,11060.416666666666,477.0
meta-llama/Llama-3.1-8B-Instruct,full,hotpotqa,,F1,59.02777777777777,59.02777777777777,100.0,12,12,0,13409.166666666666,5.25
meta-llama/Llama-3.1-8B-Instruct,full,multifieldqa_en,,F1,57.02769151138716,57.02769151138716,100.0,12,12,0,8073.333333333333,12.25
meta-llama/Llama-3.1-8B-Instruct,full,narrativeqa,,F1,34.52424085576259,34.52424085576259,100.0,12,12,0,25076.75,9.333333333333334
meta-llama/Llama-3.1-8B-Instruct,full,qasper,,F1,52.09554342368798,52.09554342368798,100.0,12,12,0,4474.416666666667,23.583333333333332
meta-llama/Llama-3.1-8B-Instruct,full,triviaqa,,F1,92.5438596491228,92.5438596491228,100.0,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,quest,gov_report,1024,ROUGE-L,38.628370868890755,38.38674847457358,100.629442200548,12,12,0,11060.416666666666,491.25
meta-llama/Llama-3.1-8B-Instruct,quest,gov_report,2048,ROUGE-L,38.11293415980409,38.38674847457358,99.28669573316205,12,12,0,11060.416666666666,467.6666666666667
meta-llama/Llama-3.1-8B-Instruct,quest,gov_report,4096,ROUGE-L,38.09702671748001,38.38674847457358,99.24525580152881,12,12,0,11060.416666666666,457.5833333333333
meta-llama/Llama-3.1-8B-Instruct,quest,gov_report,512,ROUGE-L,37.49569797110576,38.38674847457358,97.67875493789731,12,12,0,11060.416666666666,463.3333333333333
meta-llama/Llama-3.1-8B-Instruct,quest,hotpotqa,1024,F1,56.944444444444436,59.02777777777777,96.4705882352941,12,12,0,13409.166666666666,6.25
meta-llama/Llama-3.1-8B-Instruct,quest,hotpotqa,2048,F1,56.944444444444436,59.02777777777777,96.4705882352941,12,12,0,13409.166666666666,3.75
meta-llama/Llama-3.1-8B-Instruct,quest,hotpotqa,4096,F1,50.694444444444436,59.02777777777777,85.88235294117646,12,12,0,13409.166666666666,5.166666666666667
meta-llama/Llama-3.1-8B-Instruct,quest,hotpotqa,512,F1,56.944444444444436,59.02777777777777,96.4705882352941,12,12,0,13409.166666666666,3.75
meta-llama/Llama-3.1-8B-Instruct,quest,multifieldqa_en,1024,F1,54.654198832661926,57.02769151138716,95.83799972290427,12,12,0,8073.333333333333,14.833333333333334
meta-llama/Llama-3.1-8B-Instruct,quest,multifieldqa_en,2048,F1,54.140786749482395,57.02769151138716,94.93771414308728,12,12,0,8073.333333333333,13.75
meta-llama/Llama-3.1-8B-Instruct,quest,multifieldqa_en,4096,F1,54.36102484472048,57.02769151138716,95.32390914660432,12,12,0,8073.333333333333,13.416666666666666
meta-llama/Llama-3.1-8B-Instruct,quest,multifieldqa_en,512,F1,55.906659765355414,57.02769151138716,98.03423263975554,12,12,0,8073.333333333333,13.166666666666666
meta-llama/Llama-3.1-8B-Instruct,quest,narrativeqa,1024,F1,33.89164756811815,34.52424085576259,98.16768371450273,12,12,0,25076.75,13.5
meta-llama/Llama-3.1-8B-Instruct,quest,narrativeqa,2048,F1,35.34021942110178,34.52424085576259,102.36349459137489,12,12,0,25076.75,9.666666666666666
meta-llama/Llama-3.1-8B-Instruct,quest,narrativeqa,4096,F1,39.010854341736696,34.52424085576259,112.99554566519954,12,12,0,25076.75,11.083333333333334
meta-llama/Llama-3.1-8B-Instruct,quest,narrativeqa,512,F1,34.08450632081463,34.52424085576259,98.72630208790076,12,12,0,25076.75,12.833333333333334
meta-llama/Llama-3.1-8B-Instruct,quest,qasper,1024,F1,53.75770757020757,52.09554342368798,103.1906071753612,12,12,0,4474.416666666667,22.833333333333332
meta-llama/Llama-3.1-8B-Instruct,quest,qasper,2048,F1,48.78418109668109,52.09554342368798,93.6436744692806,12,12,0,4474.416666666667,22.916666666666668
meta-llama/Llama-3.1-8B-Instruct,quest,qasper,4096,F1,51.740933494609955,52.09554342368798,99.31930851321769,12,12,0,4474.416666666667,22.75
meta-llama/Llama-3.1-8B-Instruct,quest,qasper,512,F1,53.62354529952213,52.09554342368798,102.93307598964283,12,12,0,4474.416666666667,25.0
meta-llama/Llama-3.1-8B-Instruct,quest,triviaqa,1024,F1,81.11111111111113,92.5438596491228,87.64612954186417,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,quest,triviaqa,2048,F1,78.97435897435898,92.5438596491228,85.3372220196865,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,quest,triviaqa,4096,F1,92.39130434782608,92.5438596491228,99.83515351329075,12,12,0,11278.083333333334,32.0
meta-llama/Llama-3.1-8B-Instruct,quest,triviaqa,512,F1,84.21052631578947,92.5438596491228,90.99526066350711,12,12,0,11278.083333333334,32.0
