model,method,dataset,budget,metric,score,full_score,retention_percent,num_samples,num_success,num_failed,avg_input_tokens,avg_output_tokens
meta-llama/Meta-Llama-3-8B-Instruct,2mean,qasper,1024,F1,42.2541404342997,47.013082013596794,89.87740991343485,19,19,0,5981.736842105263,26.57894736842105
meta-llama/Meta-Llama-3-8B-Instruct,2mean,qasper,2048,F1,46.43483024338731,47.013082013596794,98.77001943832943,19,19,0,5981.736842105263,30.36842105263158
meta-llama/Meta-Llama-3-8B-Instruct,2mean,qasper,4096,F1,45.42722297643761,47.013082013596794,96.62677074287423,19,19,0,5981.736842105263,30.57894736842105
meta-llama/Meta-Llama-3-8B-Instruct,2mean,qasper,512,F1,38.53363246826744,47.013082013596794,81.96363824248539,19,19,0,5981.736842105263,26.263157894736842
meta-llama/Meta-Llama-3-8B-Instruct,2mean,triviaqa,1024,F1,42.10526315789474,41.05263157894737,102.56410256410258,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,2mean,triviaqa,2048,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,2mean,triviaqa,4096,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,2mean,triviaqa,512,F1,42.10526315789474,41.05263157894737,102.56410256410258,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,fier,gov_report,1024,ROUGE-L,15.834497738681101,15.618701324041847,101.38165401951235,19,19,0,10550.684210526315,413.4736842105263
meta-llama/Meta-Llama-3-8B-Instruct,fier,gov_report,2048,ROUGE-L,15.334050547529124,15.618701324041847,98.17750035289707,19,19,0,10550.684210526315,410.57894736842104
meta-llama/Meta-Llama-3-8B-Instruct,fier,gov_report,4096,ROUGE-L,15.621519154271033,15.618701324041847,100.0180413862249,19,19,0,10550.684210526315,404.63157894736844
meta-llama/Meta-Llama-3-8B-Instruct,fier,gov_report,512,ROUGE-L,14.756565371431897,15.618701324041847,94.48010474927986,19,19,0,10550.684210526315,401.6842105263158
meta-llama/Meta-Llama-3-8B-Instruct,fier,hotpotqa,1024,F1,5.555555555555555,5.555555555555555,100.0,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,fier,hotpotqa,2048,F1,5.555555555555555,5.555555555555555,100.0,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,fier,hotpotqa,4096,F1,5.555555555555555,5.555555555555555,100.0,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,fier,hotpotqa,512,F1,5.563909774436091,5.555555555555555,100.15037593984964,19,19,0,13229.578947368422,29.05263157894737
meta-llama/Meta-Llama-3-8B-Instruct,fier,multifieldqa_en,1024,F1,20.59123010374089,20.907052155973638,98.48939941472089,19,19,0,8259.21052631579,37.578947368421055
meta-llama/Meta-Llama-3-8B-Instruct,fier,multifieldqa_en,2048,F1,21.580326250300367,20.907052155973638,103.2203205373186,19,19,0,8259.21052631579,35.31578947368421
meta-llama/Meta-Llama-3-8B-Instruct,fier,multifieldqa_en,4096,F1,21.25210184312859,20.907052155973638,101.65039855729428,19,19,0,8259.21052631579,37.473684210526315
meta-llama/Meta-Llama-3-8B-Instruct,fier,multifieldqa_en,512,F1,20.673029102570702,20.907052155973638,98.88065016695302,19,19,0,8259.21052631579,37.68421052631579
meta-llama/Meta-Llama-3-8B-Instruct,fier,narrativeqa,1024,F1,6.16367004467691,6.11772709622969,100.75098067835575,19,19,0,22870.263157894737,94.36842105263158
meta-llama/Meta-Llama-3-8B-Instruct,fier,narrativeqa,2048,F1,5.958818278573145,6.11772709622969,97.40248600244885,19,19,0,22870.263157894737,98.84210526315789
meta-llama/Meta-Llama-3-8B-Instruct,fier,narrativeqa,4096,F1,6.283687509139198,6.11772709622969,102.71277895040116,19,19,0,22870.263157894737,95.78947368421052
meta-llama/Meta-Llama-3-8B-Instruct,fier,narrativeqa,512,F1,5.802005012531327,6.11772709622969,94.83922576584136,19,19,0,22870.263157894737,93.21052631578948
meta-llama/Meta-Llama-3-8B-Instruct,fier,qasper,1024,F1,45.812671953258985,47.013082013596794,97.44664674400492,19,19,0,5981.736842105263,27.736842105263158
meta-llama/Meta-Llama-3-8B-Instruct,fier,qasper,2048,F1,45.706720740455495,47.013082013596794,97.22128136001915,19,19,0,5981.736842105263,30.526315789473685
meta-llama/Meta-Llama-3-8B-Instruct,fier,qasper,4096,F1,45.73704681363637,47.013082013596794,97.28578696544213,19,19,0,5981.736842105263,30.68421052631579
meta-llama/Meta-Llama-3-8B-Instruct,fier,qasper,512,F1,42.78342004634238,47.013082013596794,91.00322338784098,19,19,0,5981.736842105263,28.31578947368421
meta-llama/Meta-Llama-3-8B-Instruct,fier,triviaqa,1024,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,fier,triviaqa,2048,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,fier,triviaqa,4096,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,fier,triviaqa,512,F1,42.10526315789474,41.05263157894737,102.56410256410258,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,quest,gov_report,1024,ROUGE-L,18.393937246978975,15.618701324041847,117.76867272994849,19,19,0,10550.684210526315,362.94736842105266
meta-llama/Meta-Llama-3-8B-Instruct,quest,gov_report,2048,ROUGE-L,17.331120372034867,15.618701324041847,110.96390162322326,19,19,0,10550.684210526315,404.42105263157896
meta-llama/Meta-Llama-3-8B-Instruct,quest,gov_report,4096,ROUGE-L,17.49171528795655,15.618701324041847,111.99212357708366,19,19,0,10550.684210526315,408.89473684210526
meta-llama/Meta-Llama-3-8B-Instruct,quest,gov_report,512,ROUGE-L,16.76955257749599,15.618701324041847,107.36841834399277,19,18,1,10322.555555555555,325.1111111111111
meta-llama/Meta-Llama-3-8B-Instruct,quest,hotpotqa,1024,F1,6.039803064974689,5.555555555555555,108.7164551695444,19,19,0,13229.578947368422,22.473684210526315
meta-llama/Meta-Llama-3-8B-Instruct,quest,hotpotqa,2048,F1,6.074008550788736,5.555555555555555,109.33215391419724,19,19,0,13229.578947368422,24.842105263157894
meta-llama/Meta-Llama-3-8B-Instruct,quest,hotpotqa,4096,F1,6.194331983805668,5.555555555555555,111.49797570850204,19,19,0,13229.578947368422,28.157894736842106
meta-llama/Meta-Llama-3-8B-Instruct,quest,hotpotqa,512,F1,6.103969601422913,5.555555555555555,109.87145282561244,19,19,0,13229.578947368422,20.36842105263158
meta-llama/Meta-Llama-3-8B-Instruct,quest,multifieldqa_en,1024,F1,20.8996039819978,20.907052155973638,99.96437482472291,19,19,0,8259.21052631579,32.526315789473685
meta-llama/Meta-Llama-3-8B-Instruct,quest,multifieldqa_en,2048,F1,21.408440118058994,20.907052155973638,102.3981762629415,19,19,0,8259.21052631579,31.94736842105263
meta-llama/Meta-Llama-3-8B-Instruct,quest,multifieldqa_en,4096,F1,20.36279604191319,20.907052155973638,97.39678214795603,19,19,0,8259.21052631579,34.21052631578947
meta-llama/Meta-Llama-3-8B-Instruct,quest,multifieldqa_en,512,F1,21.12879191946999,20.907052155973638,101.06059793529043,19,19,0,8259.21052631579,27.31578947368421
meta-llama/Meta-Llama-3-8B-Instruct,quest,narrativeqa,1024,F1,6.293782495155493,6.11772709622969,102.87779098603964,19,19,0,22870.263157894737,95.47368421052632
meta-llama/Meta-Llama-3-8B-Instruct,quest,narrativeqa,2048,F1,6.5112173145414145,6.11772709622969,106.43196749580788,19,19,0,22870.263157894737,99.36842105263158
meta-llama/Meta-Llama-3-8B-Instruct,quest,narrativeqa,4096,F1,5.942982456140351,6.11772709622969,97.14363459924465,19,19,0,22870.263157894737,88.6842105263158
meta-llama/Meta-Llama-3-8B-Instruct,quest,narrativeqa,512,F1,6.773254925550558,6.11772709622969,110.71521856090745,19,19,0,22870.263157894737,98.10526315789474
meta-llama/Meta-Llama-3-8B-Instruct,quest,qasper,1024,F1,47.418719044294924,47.013082013596794,100.86281735492435,19,19,0,5981.736842105263,29.94736842105263
meta-llama/Meta-Llama-3-8B-Instruct,quest,qasper,2048,F1,47.030060183255415,47.013082013596794,100.03611371331434,19,19,0,5981.736842105263,30.0
meta-llama/Meta-Llama-3-8B-Instruct,quest,qasper,4096,F1,46.85276210207148,47.013082013596794,99.658988722588,19,19,0,5981.736842105263,29.63157894736842
meta-llama/Meta-Llama-3-8B-Instruct,quest,qasper,512,F1,42.83347449651797,47.013082013596794,91.10969258328984,19,19,0,5981.736842105263,29.736842105263158
meta-llama/Meta-Llama-3-8B-Instruct,quest,triviaqa,1024,F1,35.78947368421053,41.05263157894737,87.17948717948718,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,quest,triviaqa,2048,F1,35.78947368421053,41.05263157894737,87.17948717948718,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,quest,triviaqa,4096,F1,41.05263157894737,41.05263157894737,100.0,19,19,0,10508.263157894737,32.0
meta-llama/Meta-Llama-3-8B-Instruct,quest,triviaqa,512,F1,35.78947368421053,41.05263157894737,87.17948717948718,19,19,0,10508.263157894737,32.0
